EventID,ClusterID,NPixels,Energy_MeV,Charge_ke,x_cm,y_cm,z_cm,Distance_cm
97706,0,1,0.47794104262335046,10.409555908336573,-14.822797485166138,21.77406998142913,-49.34838285714286,30.8163010392519
97706,1,1,0.6305081938495365,13.732468462042906,-14.826922634103337,21.780928184077784,-18.532082857142854,30.8163010392519
959292,0,1,0.2721048844297864,5.9264443828807485,-55.73742156009295,-16.86284178223152,38.34256142857143,60.836748787567636
959292,1,1,0.2846961655304333,6.2006824852528375,-55.70588013252586,-16.85421900082733,-22.49417857142857,60.836748787567636
1608768,0,1,0.45111296107220306,9.825240292152584,-7.853156340029957,-23.73211429621425,23.814877142857142,36.623933783937495
1608768,1,1,0.6999494020983807,15.244897977702733,-7.850061301810827,-23.724478428954548,-12.80905571428571,36.623933783937495
2127386,0,1,0.1979010732394087,4.310285375154321,-45.653070730104886,46.281673767748025,46.26675285714286,99.57725112417417
2127386,1,1,0.387470443969099,8.439106269646977,-45.61136712520782,46.23494821895739,-53.310478571428575,99.57725112417417
2181733,0,1,0.28719546915023775,6.255117318092179,-62.59393739117896,-13.752279636611812,50.66908142857143,86.81049853863155
2181733,1,1,0.42008845644410076,9.149526581352514,-62.536259223003675,-13.740449412320363,-36.141397142857144,86.81049853863155
2268130,0,1,0.5150803703016267,11.218450465169429,-37.421413285311914,-41.22250914555727,30.41837,47.62976376032942
2268130,1,1,0.28165748273423447,6.134499973951627,-37.41516645337178,-41.19312336052205,-17.21138428571428,47.62976376032942
4383097,0,1,0.41524422061865857,9.044019125074383,-47.459001837898384,31.850889983695538,53.310478571428575,73.16327130938373
4383097,1,1,0.4183065570553004,9.110716812664442,-47.43018768149286,31.822174007624493,-19.852781428571426,73.16327130938373
5781136,0,1,0.5095510798823432,11.098022519837434,38.6315334666856,-32.803002381855535,18.09185,44.10789661144954
5781136,1,1,0.33167792612092345,7.2239452309137135,38.61509970755422,-32.789322351249226,-26.01604142857143,44.10789661144954
6567591,0,1,0.43672011696776386,9.511764147557898,-60.49458177680619,-46.253966896975754,32.61953428571429,46.7493024726143
6567591,1,1,0.40049374870446436,8.722753846783235,-60.46547990594437,-46.23268727308511,-14.12975428571428,46.7493024726143
7720172,0,1,0.35126024504268255,7.650448137029627,-10.320089786934336,-43.566978477229206,23.814877142857142,53.35279261540471
7720172,1,1,0.5123724178721026,11.159471261254396,-10.313436562554013,-43.53307520197794,-29.537904285714284,53.35279261540471
7855840,0,1,0.7176122608276821,15.629595040826919,-25.075206437220814,-38.60250450984045,40.103492857142854,56.874743662710756
7855840,1,1,0.49107511234424417,10.695615946857638,-25.044877679158212,-38.7044075959535,-16.771151428571425,56.874743662710756
8213865,0,1,1.0803039817231863,23.529020721930998,55.14623959263754,48.260407986959976,-51.989779999999996,39.18073387293664
8213865,1,1,1.0946409669196902,23.841280259510853,55.16684620541995,48.27848106731275,-12.80905571428571,39.18073387293664
9456266,0,1,0.6898042347089339,15.023936231960581,31.91618632076405,2.317417567848744,37.902328571428576,53.352782997480126
9456266,1,1,0.604488783493378,13.165765704485773,31.903961806366446,2.313178165043726,-15.450452857142855,53.352782997480126
9679624,0,1,0.4578843933600293,9.972722087381438,14.796735186987425,17.441061875471433,38.34256142857143,78.00582371674535
9679624,1,1,0.29940272633023496,6.520991379472518,14.784503274149534,17.42666180300035,-39.663259999999994,78.00582371674535
9900407,0,1,0.4796253030334293,10.446239100068091,-16.996496288295575,-47.321983717497744,41.42419142857143,78.88630669949949
9900407,1,1,0.5013605551904362,10.919632892047701,-16.96918031294924,-47.27361699673112,-37.46209571428572,78.88630669949949
