job_id,emitter_pdg,product,mcp_mass_GeV,EventID,total_primary_energy_MeV,total_primary_charge_ke,cluster1_NPixels,cluster1_Energy_MeV,cluster1_Charge_ke,cluster1_x_cm,cluster1_y_cm,cluster1_z_cm,cluster2_NPixels,cluster2_Energy_MeV,cluster2_Charge_ke,cluster2_x_cm,cluster2_y_cm,cluster2_z_cm,Distance_cm,Theta_z_deg,output
0,111,pi0,0.02045833,1749049,1.7086364454984186,37.21410178295556,1,1.0980421328981176,23.915357654521003,16.638403143542615,38.97027502011072,36.581630000000004,1,0.6105943126003011,13.298744128434558,16.624130624931638,38.93844180229063,-48.46791714285714,85.04955429785404,0.023502082010506384,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
0,111,pi0,0.02045833,1770727,1.2915766045913404,28.1305384479994,1,0.3220049402242651,7.013267598084495,39.860502789600204,-18.296908300833437,36.581630000000004,1,0.9695716643670753,21.117270849914902,39.82747817568907,-18.28146218776403,-48.46791714285714,85.04955495716959,0.02456105383918706,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
0,111,pi0,0.02045833,2195504,0.6496438210777329,14.149242423073023,1,0.395867845004083,8.622001664188929,-18.597151359458344,26.424369152191776,16.77115142857143,1,0.2537759760736498,5.527240758884093,-18.590715252252103,26.414108131260992,-34.820698571428565,51.59185142185271,0.013451613502641365,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
0,111,pi0,0.02045833,2813633,0.5014668800273985,10.92194864699674,1,0.2431430609361204,5.295655867188702,-53.35378313054822,12.336083034097681,-48.46791714285714,1,0.2583238190912781,5.626292779808037,-53.37306974773393,12.339602093599847,-13.689521428571425,34.77840124009195,0.03229837371647191,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
0,111,pi0,0.02045833,3451940,0.7637983766966374,16.635528644452762,1,0.47204205456780396,10.281075948486771,42.096873099697284,-24.485069510308513,26.45627428571429,1,0.29175632212883346,6.354452695965993,42.07324234193236,-24.47060674909168,-32.61953428571429,59.075815068031424,0.026870511404598535,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
0,111,pi0,0.02045833,3835037,0.5531520362158278,12.047651348780729,1,0.28711906491898587,6.253453233935512,53.09605020399209,3.9915811976025104,-52.870245714285716,1,0.2660329712968419,5.794198114845217,53.10284436628977,3.992289760976741,-39.663259999999994,13.206987480877329,0.02963492506148512,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
0,111,pi0,0.02045833,3900368,0.6626510393498766,14.432539637040314,1,0.34336668768890066,7.478526457864257,-56.096062590864655,27.83969482140488,-40.54372571428571,1,0.31928435166097596,6.954013179176057,-56.109518878326256,27.84641345306636,-15.450452857142855,25.093277364559338,0.034341778865295464,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
0,111,pi0,0.02045833,4628733,1.4078585632769838,30.66315950817271,1,0.8579105988102723,18.685292842087733,-34.49204227743853,-0.02849603222713243,29.09767142857143,1,0.5499479644667115,11.977866666084976,-34.464147335258744,-0.030177011726457998,-51.10931428571429,80.20699058264887,0.01996287119612349,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
0,111,pi0,0.02045833,4746266,0.7961405169313025,17.33994045876377,1,0.4352645779953761,9.480062508739293,-7.523045541018732,1.7647509842482951,-50.66908142857143,1,0.3608759389359264,7.859877950024478,-7.5255918269542645,1.765351467277155,-16.771151428571425,33.897930100952365,0.004421903732758779,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
0,111,pi0,0.02045833,5455242,1.2580836891098355,27.401062748812215,1,0.7953640466224925,17.323028935437886,32.26140571687834,-1.5023160273737215,45.38628714285714,1,0.462719642487343,10.078033813374331,32.23691036466403,-1.5014275775675077,-32.17930142857143,77.56559244435482,0.01810600718047683,/pscratch/sd/h/hogcai/mcp-geant4/output/mcp_pi0_0p020458.root
