emitter_pdg,acceptance_fraction
111,0.0002305389476229
113,0.0001487877690715
221,0.0001809316762616
223,0.0001391218541529
331,0.0001208997298923
333,0.0001047435150102
443,3.798054015233649e-05
0,7.36e-05
