EventID,ClusterID,NPixels,Energy_MeV,Charge_ke,x_cm,y_cm,z_cm
128,0,1,0.33310923689148114,7.25511917949646,12.390730777388395,-45.98936122311665,-29.537904285714284
541,0,1,0.2775304550909062,6.044613311879937,34.03059596357805,-31.981649916676293,-24.695342857142855
1212,0,1,0.7130368522328918,15.529942641632385,30.039372471693106,22.094660549737505,-19.41254857142857
1588,0,1,0.45839032655824646,9.983741312438609,37.15668428580754,11.685351854759013,-31.73906857142857
2059,0,1,0.7319772493846263,15.94246449159716,-22.44162069597487,-50.766240010841884,-50.22884857142857
2603,0,1,0.6289221980550476,13.697925473638938,-33.932056650230045,35.84550311692392,-40.103492857142854
2953,0,1,0.37384054440360276,8.142247057110469,-14.222541051711014,16.43899611876862,28.21720571428572
3473,0,1,0.2332749725062872,5.080728901186935,-63.513594675503896,29.904864266783086,-40.103492857142854
4791,0,1,0.8932676610069344,19.455369656731033,-53.58877772271826,10.943812319683897,24.255110000000002
7692,0,1,0.5087722108049467,11.08105875133174,-13.577559510711998,4.46139162196424,48.027684285714294
8643,0,1,0.39753123256464606,8.658230245257991,-30.973697880667753,-34.44922883915186,-22.05394571428571
9944,0,1,0.3754741720175391,8.177827466542002,-59.1244014974522,15.046022722569337,-38.78279428571428
10053,0,1,0.22507121782246198,4.902051124173222,-28.947855221783193,-40.90616108750739,-37.46209571428572
11966,0,1,0.7490430360259743,16.314157324645723,-35.59601146277251,-41.213296336239154,34.82069857142857
12485,0,1,0.5809150171223159,12.65232907292404,44.51533631743896,-9.590480020389212,14.56998714285714
12859,0,1,0.687318104341429,14.969788312556325,-33.36588428424743,-34.83292753256113,51.98978000000001
13110,0,1,0.4775653193039932,10.401372654440973,52.602300385316894,35.02031508817417,27.336740000000002
13585,0,1,0.5233416766297323,11.39838171699557,7.188440385739929,20.242038026400817,-16.33091857142857
14007,0,1,0.8776265114972391,19.11470542040987,-46.320426954757956,-22.27960686938205,41.86442428571429
14027,0,1,0.2600290714731421,5.663433176685035,-53.264213860435845,10.142723314887267,-20.73324714285714
14038,0,1,0.23764248062492274,5.175853228010817,26.246182857885668,4.425038404827834,-46.706985714285715
14221,0,1,1.0673963806592843,23.247893170759212,43.04409130425403,-36.05770968628377,-19.41254857142857
14708,0,1,0.3206584304495167,6.983940615190474,39.11137209585992,-51.77705011627792,26.01604142857143
14895,0,1,0.6675580436096862,14.539414189818967,40.4359684912918,24.986833875934924,-51.54954714285715
15796,0,1,0.5200650092794401,11.327015902106206,6.3250853546160855,48.04527174903619,53.310478571428575
15869,0,1,0.20922606449587988,4.556943684720264,35.75578083591902,-21.614119914886828,15.01022
16618,0,1,0.2760501674684029,6.012372647461815,58.613146507646185,40.629569870928854,-53.75071142857142
16695,0,1,1.1676740054338082,25.43193983834834,-32.70143954166847,-8.969830686958176,-24.695342857142855
17135,0,1,0.5595630737480679,12.18728374623292,62.63702587072034,42.27908446247448,39.66326
17503,0,1,0.3562322564552532,7.758738545595415,-39.34730882953592,-34.45426826657318,48.90815
17647,0,1,0.849707832461733,18.506636591016544,48.603409573897316,11.487744280183211,-49.78861571428571
17732,0,1,0.8541176793002537,18.602683055159527,-61.47064783059636,-50.15029754332684,-38.78279428571428
18261,0,1,0.39290375359099444,8.55744375321186,-44.424984316273125,35.176964033747346,-39.663259999999994
19544,0,1,0.3652016955983938,7.954092930133018,-48.55077517170481,31.996454668799817,20.293014285714285
19929,0,1,0.41997367398663416,9.147026619428893,-18.788242926146136,36.75491071697139,-40.98395857142857
20204,0,1,0.46267869969495884,10.077142079356204,36.29856963699024,31.333389215990895,-51.989779999999996
20227,0,1,0.42105765507969123,9.170635727635675,-33.31811314144689,8.955625425583303,21.613712857142858
20439,0,1,0.43832675136993804,9.54675664483725,14.730802453717065,-39.44518201696172,41.86442428571429
21714,0,1,0.5338775029674109,11.627852014630209,53.21627704159913,11.498375224950822,-42.304657142857145
24040,0,1,0.2694066428697755,5.867676681703711,46.469541047655945,-45.70455852833858,-32.17930142857143
25016,0,1,0.5526091018835328,12.035826239023345,-26.130909258194578,51.37040065533354,-25.57580857142857
25521,0,1,0.7200784932057508,15.683309582021254,37.38726780472776,-36.11548793786077,35.701164285714285
26436,0,1,0.4102994112260648,8.936321176503691,-29.751533517391714,7.077766249263979,-14.12975428571428
26813,0,1,0.43671440639277276,9.511639771234591,47.59128565041446,33.53705423178309,-17.65161714285714
27027,0,1,0.3059312869851143,6.663183430535789,-15.224530290256903,-51.2346609910143,-28.21720571428571
