,$\pi^0$,$\eta$,$\eta'$,$\rho$,$\omega$,$\phi$,$J/\psi$,DY
#/POT,2.8567841,0.3200103,0.0339124,0.3659575,0.3676633,0.0109792,5.448654897982623e-07,1.351702296056851e-12
BR,5.4019260976905e-07,2.8287748646587346e-07,1.597063360750097e-08,3.445245440603047e-11,5.3722477106020655e-11,2.170070879906553e-10,4.358394110778703e-08,
MCP/POT,3.0864273170514535e-06,1.8104741861438023e-07,1.0832050303020318e-09,2.5216268166589793e-11,3.950356643394801e-11,4.765128440934005e-12,4.7494770838066004e-14,2.703404592113702e-12
